ALU.PA,Alcatel-Lucent,1,1,0.1
FTE.PA,France Telecom,1,1,0.1
TMS.PA,Technicolor,1,1,0.1
CS.PA,AXA SA,1,1,0.1
ACA.PA,Credit Agricole,1,1,0.1
TEO.PA,Theolia SA,1,1,0.1
FP.PA,Total SA,1,1,0.1
KN.PA,Natixis,1,1,0.1
GLE.PA,Societe Generale,1,1,0.1
BNP.PA,BNP Paribas SA,1,1,0.1
STM.PA,Stmicroelectronics,1,1,0.1
VIV.PA,Vivendi,1,1,0.1
GSZ.PA,GDF Suez,1,1,0.1
SAN.PA,Sanofi-Aventis SA,1,1,0.1
SGO.PA,Saint Gobain,1,1,0.1
CA.PA,Carrefour SA,1,1,0.1
EAD.PA,Eads,1,1,0.1
BN.PA,Danone S.A.,1,1,0.1
UG.PA,Peugeot SA,1,1,0.1
DG.PA,Vinci SA,1,1,0.1
AF.PA,Air France-KLM,1,1,0.1
ALO.PA,Alstom SA,1,1,0.1
RNO.PA,Renault SA,1,1,0.1
VIE.PA,Veolia Environnement SA,1,1,0.1
LG.PA,Lafarge SA,1,1,0.1
EDF.PA,Electricite de France,1,1,0.1
EN.PA,Bouygues SA,1,1,0.1
RHA.PA,RHODIA RGPT,1,1,0.1
COX.PA,Nicox,1,1,0.1
GET.PA,GP EUROTUNNEL RGPT,1,1,0.1
CAP.PA,Cap Gemini SA,1,1,0.1
GA.PA,CGG Veritas,1,1,0.1
AC.PA,Accor SA,1,1,0.1
SOI.PA,Soitec,1,1,0.1
SU.PA,Schneider Electric SA,1,1,0.1
MC.PA,LVMH,1,1,0.1
UBI.PA,UBI Soft Entert.,1,1,0.1
SEV.PA,SUEZ ENV. CPY,1,1,0.1
SAF.PA,SAFRAN SA,1,1,0.1
OR.PA,Oreal (L'),1,1,0.1
HAV.PA,Havas Sa,1,1,0.1
AI.PA,Air Liquide SA,1,1,0.1
VK.PA,Vallourec SA,1,1,0.1
BNS.PA,Beni Stabili SpA,1,1,0.1
PAJ.PA,Pages Jaunes,1,1,0.1
FR.PA,Valeo SA,1,1,0.1
ML.PA,Michelin,1,1,0.1
SESG.PA,SES SA,1,1,0.1
RI.PA,Pernod Ricard SA,1,1,0.1
PUB.PA,Publicis Groupe SA,1,1,0.1
EF1.PA,Essilor Intl,1,1,0.1
TFI.PA,Television Francaise 1 (TF1),1,1,0.1
TEC.PA,Technip SA,1,1,0.1
LR.PA,LeGrand Holding SA,1,1,0.1
EADT.PA,ADT SIIC,1,1,0.1
BULL.PA,Bull SA,1,1,0.1
MAU.PA,Maurel Et Prom,1,1,0.1
ALT.PA,Altran technologies SA,1,1,0.1
MFG.PA,Montaigne Fashion Group,1,1,0.1
HO.PA,Thales (Ex Thomson Csf),1,1,0.1
ETL.PA,Eutelsat Communications SA,1,1,0.1
SCR.PA,SCOR SA,1,1,0.1
UL.PA,Unibail-Rodamco,1,1,0.1
MMB.PA,Lagardere,1,1,0.1
ROD.PA,Rodriguez Group SA,1,1,0.1
CNP.PA,CNP Assurances,1,1,0.1
LI.PA,Klepierre,1,1,0.1
SW.PA,Sodexo SA,1,1,0.1
DBG.PA,Derichebourg,1,1,0.1
JXR.PA,Archos SA,1,1,0.1
CSAR.PA,CESAR RGRPT,1,1,0.1
AKE.PA,Arkema SA,1,1,0.1
PP.PA,PPR SA,1,1,0.1
EO.PA,Faurecia SA,1,1,0.1
DSY.PA,Dassault Systemes,1,1,0.1
DPT.PA,ST Dupont SA,1,1,0.1
ATO.PA,Atos Origin SA,1,1,0.1
GTO.PA,Gemalto N.V.,1,1,0.1
HIM.PA,Hi Media,1,1,0.1
RXL.PA,REXEL,1,1,0.1
MMT.PA,M6 Metropole Television,1,1,0.1
RCF.PA,Teleperformance SA,1,1,0.1
ARE.PA,Groupe Ares SA,1,1,0.1
ZC.PA,Zodiac Aerospace,1,1,0.1
CO.PA,Casino Guichard Perrachon SA,1,1,0.1
BVI.PA,BUREAU VERITAS,1,1,0.1
DGM.PA,Diagnostic Medical Systems,1,1,0.1
DEC.PA,JC Decaux SA,1,1,0.1
CU.PA,Club Mediterranee,1,1,0.1
CIB.PA,Cibox Interactive SA,1,1,0.1
NEX.PA,Nexans SA,1,1,0.1
HBW.PA,Hubwoo,1,1,0.1
IPN.PA,Ipsen SA,1,1,0.1
GBB.PA,Bourbon SA,1,1,0.1
MLPVG.PA,GROUPE PLUS-VALUES,1,1,0.1
12038.PA,Recylex SA,1,1,0.1
SBT.PA,Oeneo SA,1,1,0.1
GECP.PA,Geci Intl,1,1,0.1
908808.PA,GFI Informatique SA,1,1,0.1
NEO.PA,Neopost SA,1,1,0.1
SPH.PA,Sinclair Pharma,1,1,0.1
BNA.PA,Bci Navigation,1,1,0.1
AVT.PA,Avenir Telecom,1,1,0.1
MF.PA,Wendel,1,1,0.1
CDI.PA,Christian Dior SA,1,1,0.1
PARP.PA,Groupe Partouche SA,1,1,0.1
ILD.PA,ILIAD SA,1,1,0.1
RSC.PA,RISC GROUP REGPT.,1,1,0.1
AN.PA,Canal +,1,1,0.1
FGR.PA,Eiffage SA,1,1,0.1
PONY.PA,Poncin Yachts,1,1,0.1
ALAUP.PA,AUPLATA,1,1,0.1
GFT.PA,Gameloft SA,1,1,0.1
SK.PA,SEB SA,1,1,0.1
NXI.PA,Nexity,1,1,0.1
ALRAI.PA,GECI AVIATION,1,1,0.1
SAFT.PA,Saft Groupe SA,1,1,0.1
RMS.PA,Hermes International,1,1,0.1
MUN.PA,MICROPOLE,1,1,0.1
ADP.PA,Aeroports de Paris SA,1,1,0.1
NK.PA,Imerys SA,1,1,0.1
ALEHT.PA,Exonhit Therapeutics SA,1,1,0.1
RIA.PA,Steria (Groupe),1,1,0.1
ING.PA,Ingenico SA,1,1,0.1
EEN.PA,EDF Energies Nouvelles SA,1,1,0.1
MDL.PA,ModeLabs SA,1,1,0.1
10120346.PA,TNU -S-,1,1,0.1
NTG.PA,Netgem SA,1,1,0.1
RF.PA,Eurazeo SA,1,1,0.1
0010060665.PA,ModeLabs SA,1,1,0.1
BB.PA,BIC,1,1,0.1
RX.PA,Recylex SA,1,1,0.1
IPS.PA,Ipsos SA,1,1,0.1
FDR.PA,Fonciere des Regions,1,1,0.1
BIM.PA,Biomerieux Inc,1,1,0.1
GFC.PA,GECINA SA,1,1,0.1
VOR.PA,Sequana,1,1,0.1
MLDSH.PA,SMALTO,1,1,0.1
FPG.PA,Uti (Union Techn Inform,1,1,0.1
6491.PA,La Perla World,1,1,0.1
RCO.PA,Remy Cointreau,1,1,0.1
MERY.PA,Mercialys Promesse,1,1,0.1
VLS.PA,VIVALIS,1,1,0.1
ICAD.PA,ICADE SA,1,1,0.1
CRI.PA,Chargeurs SA,1,1,0.1
GNG.PA,Ginger SA,1,1,0.1
03508.PA,ICADE SA,1,1,0.1
ATE.PA,Alten SA,1,1,0.1
BST.PA,Bac Majestic,1,1,0.1
BEN.PA,Beneteau SA,1,1,0.1
7668.PA,Overlap Groupe,1,1,0.1
SECH.PA,Sechilienne Sidec,1,1,0.1
EUR.PA,Euro Ressources SA,1,1,0.1
ALADO.PA,Adomos,1,1,0.1
ORP.PA,Orpea SA,1,1,0.1
ERA.PA,Eramet SA,1,1,0.1
AL185.PA,1855 SA,1,1,0.1
DAN.PA,Dane Elec Memory,1,1,0.1
RAL.PA,Rallye SA,1,1,0.1
CBD.PA,Cyberdeck SA,1,1,0.1
ALIDA.PA,Loyaltouch S.A.,1,1,0.1
CRL.PA,Mersen S.A.,1,1,0.1
RIB.PA,Riber SA,1,1,0.1
IFG.PA,INFOGRAMES ENT.RGPT,1,1,0.1
PIG.PA,Haulotte Group,1,1,0.1
METEX.PA,METABOLIC EXPL.,1,1,0.1
ORC.PA,Orco Property Group SA,1,1,0.1
CER.PA,Cerep SA,1,1,0.1
OLV.PA,Solving Efeso International S.A.,1,1,0.1
ERF.PA,Eurofins Scientific SA,1,1,0.1
EDL.PA,EURO DISNEY RGPT,1,1,0.1
ABCA.PA,ABC Arbitrage S.A.,1,1,0.1
VCT.PA,Vicat SA,1,1,0.1
LAX.PA,Stelax,1,1,0.1
GFI.PA,GFI Informatique SA,1,1,0.1
LSS.PA,Lectra SA,1,1,0.1
ALHYG.PA,HYBRIGENICS A-,1,1,0.1
ALDV.PA,Alliance Developpement Capital,1,1,0.1
ALVER.PA,VERGNET,1,1,0.1
APR.PA,April Group SA,1,1,0.1
ELE.PA,Euler Hermes SA,1,1,0.1
ACAN.PA,Acanthe Developpement SA,1,1,0.1
BIO.PA,BioAlliance Pharma SA,1,1,0.1
CES.PA,Cameleon Software S.A.,1,1,0.1
MLATP.PA,ATI PETROLEUM,1,1,0.1
ARR.PA,Société des Autoroutes Paris-Rhin-Rhône,1,1,0.1
ZIF.PA,Zublin Immobiliere France,1,1,0.1
IPH.PA,Innate Pharma,1,1,0.1
POM.PA,Plastic Omnium SA,1,1,0.1
LTA.PA,Altamir Amboise SA,1,1,0.1
CMA.PA,Ciments Francais SA,1,1,0.1
SIL.PA,Silic SA,1,1,0.1
NOV.PA,ANOVO REGPT.,1,1,0.1
BRS.PA,Boursorama SA,1,1,0.1
OMA.PA,CORN,1,1,0.1
LAC.PA,LACIE SA,1,1,0.1
SQI.PA,SQLI,1,1,0.1
DLT.PA,Dalet SA,1,1,0.1
ALITS.PA,International Technologie Selection SA,1,1,0.1
MLEUP.PA,Europlasma,1,1,0.1
TRI.PA,Trigano SA,1,1,0.1
LTE.PA,Valtech SA,1,1,0.1
RUI.PA,Rubis,1,1,0.1
TNG.PA,Transgene SA,1,1,0.1
ALEGR.PA,SafeTIC S.A.,1,1,0.1
ECP.PA,EUROPACORP,1,1,0.1
MTU.PA,Manitou,1,1,0.1
GENP.PA,Stallergenes,1,1,0.1
LEY.PA,Faiveley Transport S.A.,1,1,0.1
SPR.PA,Sperian Protection SA,1,1,0.1
FFP.PA,FFP,1,1,0.1
ASY.PA,Assystem,1,1,0.1
AVQ.PA,Avanquest Software S.A.,1,1,0.1
OMT.PA,OUTREMER TELECOM,1,1,0.1
GENX.PA,GENERIX RGPT,1,1,0.1
PARRO.PA,Parrot,1,1,0.1
CV.PA,ZCI,1,1,0.1
LAT.PA,Latecoere SA,1,1,0.1
SLG.PA,SeLoger.com,1,1,0.1
MLION.PA,LIONAX INTL INVT,1,1,0.1
UDIS.PA,U10 SA,1,1,0.1
ESRP.PA,Esr (Expertise System Res),1,1,0.1
MLMAN.PA,Mandriva SA,1,1,0.1
MLGLO.PA,Global Interface SA,1,1,0.1
IME.PA,La Perla World,1,1,0.1
SESL.PA,Store Electronic Systems,1,1,0.1
GUI.PA,Guillemot Corporation,1,1,0.1
MEMS.PA,MEMSCAP SA,1,1,0.1
DIM.PA,Sartorius Stedim Biotech SA,1,1,0.1
IMS.PA,IMS Int Met Serv,1,1,0.1
CDA.PA,Compagnie des Alpes (CDA),1,1,0.1
ALNBT.PA,NetBooster,1,1,0.1
MLBRS.PA,** SEE<ALBRS.PA>,1,1,0.1
UMS.PA,Umanis,1,1,0.1
ALODI.PA,Societe O2I,1,1,0.1
NRG.PA,NRJ Group SA,1,1,0.1
RAN.PA,Systran SA,1,1,0.1
DVT.PA,Devoteam SA,1,1,0.1
TAM.PA,Etam Developpement,1,1,0.1
MON.PA,Montupet Sa,1,1,0.1
VAC.PA,Pierre & Vacances,1,1,0.1
IFV.PA,InfoVista SA,1,1,0.1
MLHAP.PA,HAPPYDOO,1,1,0.1
MLASM.PA,ASIA MINING (HK),1,1,0.1
SWP.PA,Sword Group SA,1,1,0.1
SOFC.PA,Gecimed,1,1,0.1
EBI.PA,Ebizcuss.com,1,1,0.1
RDC.PA,Rue du Commerce SA,1,1,0.1
OTO.PA,Otor,1,1,0.1
ALEFT.PA,eFront,1,1,0.1
KOF.PA,Kaufman & Broad SA,1,1,0.1
RIN.PA,Vilmorin et Cie,1,1,0.1
FLO.PA,Flo (Groupe),1,1,0.1
ADI.PA,Audika SA,1,1,0.1
ALCBO.PA,CBo Territoria S.A.,1,1,0.1
IEC.PA,IEC Professionnel Media,1,1,0.1
EIFF.PA,Tour Eiffel,1,1,0.1
PRC.PA,Artprice.com SA,1,1,0.1
BIG.PA,Bigben Interactive,1,1,0.1
VIL.PA,Viel Et Cie,1,1,0.1
BON.PA,Bonduelle SA,1,1,0.1
MLTMT.PA,CHINA TREASURE,1,1,0.1
ITP.PA,Inter Parfums SA,1,1,0.1
MEET.PA,Meetic SA,1,1,0.1
MED.PA,Medasys SA,1,1,0.1
BSD.PA,Bourse Direct SA,1,1,0.1
MLLOG.PA,Logic Instrument,1,1,0.1
VIRP.PA,Virbac,1,1,0.1
MLNSB.PA,Naseba Group,1,1,0.1
LVL.PA,LVL Medical Groupe SA,1,1,0.1
CRBP2.PA,CRCAM BRIE PIC2CCI,1,1,0.1
ALALO.PA,HT.LOUER.FR,1,1,0.1
CAPLI.PA,Capelli,1,1,0.1
MLFMB.PA,FMB-AQUAPOLE,1,1,0.1
BOI.PA,Boiron SA,1,1,0.1
GLO.PA,GL Events SA,1,1,0.1
MFC.PA,Maisons France Confort SA,1,1,0.1
SOP.PA,Sopra Group,1,1,0.1
PSY.PA,Parsys SA,1,1,0.1
AURE.PA,Aurea (Auer),1,1,0.1
ALMAX.PA,Maximiles,1,1,0.1
ALTMG.PA,The Marketingroup,1,1,0.1
MLLAR.PA,STRATEGECO SOLAR,1,1,0.1
HIO.PA,Hiolle Industries,1,1,0.1
IML.PA,Affine SA,1,1,0.1
ALGEN.PA,GENOWAY,1,1,0.1
ALADM.PA,ADTHINK MEDIA N.,1,1,0.1
ALWOO.PA,Safwood SpA,1,1,0.1
403824.PA,Risc Group,1,1,0.1
ESK.PA,Esker SA,1,1,0.1
BELI.PA,Le Belier,1,1,0.1
OSA.PA,Osiatis,1,1,0.1
CGD.PA,Cegid Group,1,1,0.1
MIL.PA,Millimages,1,1,0.1
OPEC.PA,OFI PRIVATE EQUITY,1,1,0.1
AUB.PA,Aubay Technology,1,1,0.1
CAS.PA,CAST SA,1,1,0.1
BND.PA,Business & Decision SA,1,1,0.1
TLC.PA,Telecom Reseaux Services,1,1,0.1
ALM.PA,Alpha MOS SA,1,1,0.1
UFF.PA,Union Fin. De France,1,1,0.1
LTAN.PA,Tanneur & Cie (Le),1,1,0.1
ALEMV.PA,Email Vision,1,1,0.1
03929.PA,Bollore SA,1,1,0.1
ALBIL.PA,Rentabiliweb Group,1,1,0.1
MLZAM.PA,ZCCM -B-,1,1,0.1
ALCLS.PA,Cellectis,1,1,0.1
ALFBA.PA,Fashion Bel Air,1,1,0.1
ALTEC.PA,Techniline,1,1,0.1
CNF.PA,Cred Ag Nord De France,1,1,0.1
ALVDI.PA,VDI Group,1,1,0.1
ALGUI.PA,Leguide com,1,1,0.1
SIPH.PA,Ste Internat Plants Heveas,1,1,0.1
ARG.PA,ARGAN,1,1,0.1
SCHP.PA,Seche Environnement,1,1,0.1
AKA.PA,Akka Technologies SA,1,1,0.1
OPN.PA,Groupe Open SA,1,1,0.1
CBSM.PA,Societe Centrale des Bois et Scieries de,1,1,0.1
MUL.PA,Index Multimedia SA,1,1,0.1
FEM.PA,Aufeminin.com SA,1,1,0.1
MLACA.PA,Acadomia,1,1,0.1
ALMED.PA,Medicrea International,1,1,0.1
PDJ.PA,Piscine Desjoyaux SA,1,1,0.1
GDS.PA,Generale De Sante,1,1,0.1
TIPA.PA,TEAM PARTNERS RGPT,1,1,0.1
NRO.PA,Neurones,1,1,0.1
MLPHW.PA,Phone Web SA,1,1,0.1
ALADV.PA,Adverline SA,1,1,0.1
GJAJ.PA,Groupe J.A.J,1,1,0.1
VETO.PA,Vetoquinol,1,1,0.1
ALREF.PA,HOLOSFIND,1,1,0.1
KEY.PA,Keyrus SA,1,1,0.1
MLCVN.PA,CERVIN ENR,1,1,0.1
MLVEL.PA,Velcan Energy,1,1,0.1
ALGOA.PA,GOADV,1,1,0.1
MLGAU.PA,Gaussin,1,1,0.1
RIS.PA,Softway Medical,1,1,0.1
BVD.PA,Belvedere SA,1,1,0.1
ERSC.PA,Eurosic,1,1,0.1
FMU.PA,Fonciere des Murs,1,1,0.1
ALHEO.PA,H2O INNOVATION,1,1,0.1
CGM.PA,Cegedim SA,1,1,0.1
EEM.PA,Elec & Eaux Madagascar,1,1,0.1
DCH.PA,Delachaux S.A,1,1,0.1
ASP.PA,Ast Groupe,1,1,0.1
MLEAS.PA,EASSON TELECOM,1,1,0.1
FIM.PA,Fimalac SA,1,1,0.1
ALXIR.PA,Xiring SA,1,1,0.1
IAM.PA,MAROC TELECOM,1,1,0.1
LNC.PA,Les Nouveaux Constructeurs Inc,1,1,0.1
TOUP.PA,Touax SA,1,1,0.1
LIN.PA,Linedata Services SA,1,1,0.1
AESCH.PA,AES Chemunex SA,1,1,0.1
MLONE.PA,Body One SA,1,1,0.1
VIA.PA,Groupe Vial,1,1,0.1
CEI.PA,Areva SA,1,1,0.1
ALMAS.PA,Mastrad,1,1,0.1
SII.PA,SII SA,1,1,0.1
PCA.PA,PCAS,1,1,0.1
EOS.PA,Acteos,1,1,0.1
ALMIC.PA,Microwave Vision,1,1,0.1
STF.PA,STEF TFE,1,1,0.1
ITL.PA,It Link,1,1,0.1
ALCSY.PA,Come and Stay,1,1,0.1
06267.PA,Groupe Gorge S.A.,1,1,0.1
ECASA.PA,ECA SA,1,1,0.1
TES.PA,Tessi SA,1,1,0.1
ATI.PA,Actia Group,1,1,0.1
HOL.PA,Hologram Industries SA,1,1,0.1
ALENT.PA,Entreparticuliers.Com,1,1,0.1
ALMDG.PA,MGI Digital Graphic Technology,1,1,0.1
BLC.PA,Bastide Le Confort Medica,1,1,0.1
SDG.PA,Synergie SA,1,1,0.1
PAOR.PA,Paris Orleans,1,1,0.1
HF.PA,HF Company SA,1,1,0.1
MLABC.PA,ABC ORTHODON N,1,1,0.1
CEN.PA,Groupe Crit SA,1,1,0.1
ALSDL.PA,DL SOFTWARE N.,1,1,0.1
MLCSP.PA,CN SUPER POWER SAVI,1,1,0.1
SPI.PA,Spir Communication SA,1,1,0.1
ALPWO.PA,Poweo SA,1,1,0.1
MLSTS.PA,STS Group,1,1,0.1
ROCA.PA,Rocamat,1,1,0.1
PROL.PA,PROLOGUE,1,1,0.1
CLAY.PA,Clayeux SA,1,1,0.1
SAR.PA,Systar SA,1,1,0.1
FII.PA,LISI SA,1,1,0.1
FLY.PA,Ste Fonciere Lyonnaise,1,1,0.1
MLVIS.PA,Visio Nerf,1,1,0.1
